Organization,Organization Name URL,Categories,Headquarters,Regions,Founded,Date_Period,ExitDate,ExitDatePrecision,LastFundingDate,LastFundingAmount,LastFundingAmountCurrency,LastFundingAmountUSD,LastFundingType,LastEquityFundingAmount,LastEquityFundingAmountCurrency,LastEquityFundingAmountUSD,FundingStatus,Top5Investors,NumberInvestors
Scanovate,https://www.crunchbase.com/organization/scanovate,"B2B, B2C, Biometrics, Financial Services, Hardware, Identity Management, Mobile Devices, Printing, Software","Ramat Gan, Tel Aviv, Israel",,2015-01-15,day,,,2018-04-16,,,,Series A,,,,Early Stage Venture,Global Fintech Solutions,1
Nuggets,https://www.crunchbase.com/organization/nuggets,"Blockchain, E-Commerce, Internet, Payments, Security","London, England, United Kingdom",European Union (EU),2016-10-05,day,,,2017-12-01,,,,Non-equity Assistance,,,,,Momentum London,1
Micromoney International,https://www.crunchbase.com/organization/micromoney-empire,"Bitcoin, Credit Bureau, Financial Services, Identity Management, Lending","Mahé, Beau Vallon, Seychelles",,2015-08-28,day,,,2017-10-18,5000000,USD,5000000,Initial Coin Offering,5000000,USD,5000000,,"Anton Dzyatkovskiy, Grand Corporation Osaka, Nagata Tetsuji, Oknha Sorn Sokna",4
Entersekt,https://www.crunchbase.com/organization/entersekt,"Apps, Finance, FinTech, Mobile, Mobile Payments, Security, Software","Stellenbosch, NA - South Africa, South Africa",,2008-01-01,year,,,2017-08-31,,,,Series C,,,,Late Stage Venture,"Endeavor Catalyst, RMI",2
Pei,https://www.crunchbase.com/organization/pei-technology-inc,"Cryptocurrency, FinTech, Loyalty Programs, Security","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2017-01-01,year,,,2018-04-04,,,,Seed,,,,Seed,Sputnik ATX,1
Perseus,https://www.crunchbase.com/organization/perseus-5e69,"Commercial Insurance, Cyber Security, E-Learning, InsurTech, IT Management, Network Security, Privacy, Security, Small and Medium Businesses, Training","Berlin, Berlin, Germany",European Union (EU),2017-01-01,year,,,2017-09-04,,,,Seed,,,,Seed,finleap,1
Smile Identity,https://www.crunchbase.com/organization/smile-identity,"Apps, Identity Management, Machine Learning","Oakland, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,,,2018-04-09,,,,Seed,,,,Seed,"500 Startups, Catalyst Fund, Savannah Fund, Susa Ventures, ValueStream Ventures",8
Semperis,https://www.crunchbase.com/organization/semperis,"Cyber Security, Identity Management, Information Technology","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2013-04-15,day,,,2017-08-14,,,,Series A,,,,Early Stage Venture,"Maverick Ventures Israel, Microsoft Accelerator, Microsoft ScaleUp Tel Aviv, Mindset Ventures, World Trade Ventures (WTV)",9
Keyo,https://www.crunchbase.com/organization/keyo,"Financial Services, Information Technology, Security, Ticketing","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2015-01-01,year,,,2017-11-20,,,,Seed,,,,Seed,gener8tor,1
LimpidArmor,https://www.crunchbase.com/organization/limpidarmor,"Automotive, Military, Security","Kyiv, Kyyiv, Ukraine",,2016-01-01,year,,,2017-10-01,200000,USD,200000,Seed,200000,USD,200000,Seed,Startup.Network,1
Gyomo,https://www.crunchbase.com/organization/gyomo,"CleanTech, Energy, Energy Management, Security","Herndon, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",,,,,2018-04-24,16100,USD,16100,Equity Crowdfunding,16100,USD,16100,,"StartEngine, Startupbootcamp FinTech & CyberSecurity",2
Olarm Alarm Service,https://www.crunchbase.com/organization/olarm-alarm-service,"Public Safety, Security",,,,,,,2018-06-25,99819,USD,99819,Product Crowdfunding,,,,,,
GuestOf,https://www.crunchbase.com/organization/guestof,"Hardware, Identity Management, Internet of Things, PaaS, Real Estate, SaaS, Security, Software","Philadelphia, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",2016-02-15,day,,,2018-03-31,,,,Non-equity Assistance,,,,,"Ben Franklin Technology Partners of Southeastern Pennsylvania, ic@3401, NextFab",3
"Gryphon Online Safety, Inc.",https://www.crunchbase.com/organization/gryphon-online-safety-inc,"Consumer Electronics, Cyber Security, Internet of Things, Machine Learning, Network Security, Wireless","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",2014-08-14,day,,,2018-03-23,,,,Seed,,,,Seed,SeedInvest,1
EP Wealth Advisors,https://www.crunchbase.com/organization/ep-wealth-advisors,"Asset Management, Financial Services, Property Management, Real Estate, Security","Torrance, California, United States","Greater Los Angeles Area, West Coast, Western US",2004-01-01,year,,,2017-07-10,,,,Private Equity,,,,Private Equity,Wealth Partners Capital Group,1
Gonbike,https://www.crunchbase.com/organization/gonbike,"Mobile Apps, Ride Sharing, Security","Shanghai, Shanghai, China",Asia-Pacific (APAC),,,,,2018-01-05,15000000,USD,15000000,Angel,15000000,USD,15000000,Seed,Quan Capital,1
UBICUO,https://www.crunchbase.com/organization/ubicuo,"Apps, Mapping Services, Security","Córdoba, Cordoba, Argentina",,2015-07-02,day,,,2018-05-04,40000,USD,40000,Seed,40000,USD,40000,Seed,Start-Up Chile,1
Denim Group,https://www.crunchbase.com/organization/denim-group,"Information Technology, Network Security, Security","San Antonio, Texas, United States",Southern US,2001-01-01,year,,,2018-03-01,,,,Corporate Round,,,,,Wipro Technologies,1
Nano4U,https://www.crunchbase.com/organization/nano4u,"Nanotechnology, Security, Supply Chain Management","Sarnen, Obwalden, Switzerland",,,,,,2017-12-01,50000,EUR,59464,Grant,,,,,EASME - EU Executive Agency for SMEs,1
315Net,https://www.crunchbase.com/organization/315net,"Cyber Security, Information Technology, Marketing","Hainan, Hainan, China",Asia-Pacific (APAC),,,,,2018-03-14,31600000,USD,31600000,Series A,31600000,USD,31600000,Early Stage Venture,Mount Morning Capital,1
Byzia Corporation,https://www.crunchbase.com/organization/byzia-corporation,"Cyber Security, Information Technology, Internet, Telecommunications, Web Hosting","London, England, United Kingdom",European Union (EU),2018-01-01,year,,,2018-01-17,15000,EUR,18270,Seed,15000,EUR,18270,Seed,,
CounterFlow,https://www.crunchbase.com/organization/counterflow,"Artificial Intelligence, Computer, Network Security","Crozet, Virginia, United States","East Coast, Southern US",2017-01-01,year,,,2018-02-18,2700000,USD,2700000,Seed,2700000,USD,2700000,Seed,"Charlottesville Angel Network, OUP (Osage University Partners)",2
Pinn,https://www.crunchbase.com/organization/debitforward,"Artificial Intelligence, Computer, Cyber Security, Identity Management, Software","Redwood City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2015-07-01,day,,,2017-10-31,,,,Seed,,,,Seed,"BootstrapLabs, Green Egg Ventures, NewDo Venture, Pen King, Story Ventures",6
Heedful,https://www.crunchbase.com/organization/heedful,"Apps, Automotive, Security, Social Network","London, England, United Kingdom",European Union (EU),2018-01-01,month,,,2018-01-18,20000,GBP,27785,Pre-Seed,20000,GBP,27785,Seed,,
Deep Science,https://www.crunchbase.com/organization/deep-science-ai,"Artificial Intelligence, Insurance, Machine Learning, Security, Video","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-05-15,day,2019-03-01,day,2018-03-12,,,,Seed,,,,M&A,"Alchemist Accelerator, James Sowers",2
Threat9,https://www.crunchbase.com/organization/threat9,"Computer, Network Security","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-01-01,year,,,2017-09-11,15000,GBP,19753,Seed,15000,GBP,19753,Seed,CyLon,1
iWelcome,https://www.crunchbase.com/organization/iwelcome,"Enterprise Software, Identity Management, Security","Amersfoort, Utrecht, The Netherlands",European Union (EU),2011-02-01,day,,,2017-11-27,,,,Series C,,,,Late Stage Venture,"Capnamic Ventures, Connected Capital, Filsa Capital, Newion Investments, PPM Oost NV",5
ITsMine,https://www.crunchbase.com/organization/itsmine,"Cloud Security, Cyber Security, Enterprise Software, Network Security","Jerusalem, Yerushalayim, Israel",,2017-01-01,year,,,2017-11-01,,,,Grant,,,,,,
AdaptiveMobile,https://www.crunchbase.com/organization/adaptivemobile,"Enterprise, Mobile, Security, Telecommunications","Dublin, Dublin, Ireland",European Union (EU),2003-01-01,year,,,2018-04-10,,,,Debt Financing,14000000,USD,14000000,Early Stage Venture,"Doughty Hanson & Co, Enterprise Ireland, Harbert European Growth Capital, Intel Capital, Noor Financial Investment",5
Keep,https://www.crunchbase.com/organization/keep,"Finance, Security","George Town, Midland, Cayman Islands",,,,,,2018-04-01,,,,Undisclosed,,,,,"Andreessen Horowitz, Compound, Dekrypt Capital, Fabric Ventures, Polychain",7
Harbor,https://www.crunchbase.com/organization/harbor-pension,"Career Planning, Financial Services, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,,,2017-07-14,100000,USD,100000,Convertible Note,,,,,"Right Side Capital Management, Techstars, Techstars Chicago (Formerly Excelerate Labs)",3
Metascan,https://www.crunchbase.com/organization/metascan,Security,"Moscow, Moscow City, Russian Federation",,2016-01-01,year,,,2017-12-01,2500000,RUB,42452,Seed,2500000,RUB,42452,Seed,Internet Initiatives Development Fund (IIDF),1
NexusTek,https://www.crunchbase.com/organization/nexustek,"Cloud Infrastructure, Cloud Management, CRM, Cyber Security, Enterprise Resource Planning (ERP), Enterprise Software, Information Technology, Technical Support, VoIP","Greenwood Village, Colorado, United States","Greater Denver Area, Western US",1996-01-01,year,2017-12-13,day,2017-12-15,,,,Private Equity,,,,M&A,"ABRY Partners, Lightview Capital (Red Oak Growth Partners)",2
14bis Supply Tracking,https://www.crunchbase.com/organization/safeflights-inc,"Aerospace, FinTech, Information Technology, Logistics, Military, Network Security, PaaS, Risk Management, SaaS, Supply Chain Management","Houston, Texas, United States","Greater Houston Area, Southern US",2017-05-04,day,,,2018-01-01,,,,Seed,,,,Seed,"Techstars, Techstars Autonomous Technology",2
VSFT HOLDINGS,https://www.crunchbase.com/organization/vsft-holdings,"Security, Software","Lewes, Delaware, United States","East Coast, Southern US",2016-01-01,year,,,2018-04-13,340000,USD,340000,Seed,340000,USD,340000,Seed,,
Secberus,https://www.crunchbase.com/organization/secberus,"Cyber Security, Information Technology, Security","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",2017-12-01,month,,,2018-04-17,,,,Seed,,,,Seed,CyLon,1
CyNation,https://www.crunchbase.com/organization/cynation,"Compliance, Cyber Security, Internet of Things, Risk Management, SaaS","London, England, United Kingdom",European Union (EU),2015-05-15,day,,,2017-12-01,,,,Non-equity Assistance,,,,,Momentum London,1
ID-Pal,https://www.crunchbase.com/organization/id-pal,"Compliance, FinTech, Identity Management, Mobile, Mobile Apps, SaaS","Dublin, Dublin, Ireland",European Union (EU),2016-01-01,year,,,2017-09-01,,,,Venture - Series Unknown,,,,,Fintech71,1
VerdEnergy,https://www.crunchbase.com/organization/verdenergy,"Biomass Energy, Energy, Network Security","Yorkshire, New York, United States","East Coast, Northeastern US",2015-01-01,year,,,2017-11-16,200000,GBP,263994,Debt Financing,,,,,"Mercia Technologies, Northern Powerhouse Investment Fund",2
Silverfriend,https://www.crunchbase.com/organization/silverfriend,Cyber Security,"Maidenhead, Windsor and Maidenhead, United Kingdom",European Union (EU),2017-06-26,day,,,2018-01-05,177320,GBP,240569,Equity Crowdfunding,177320,GBP,240569,,Crowdcube,1
Nect,https://www.crunchbase.com/organization/nect-2,Security,"Hamburg, Hamburg, Germany",European Union (EU),2017-04-01,month,,,2017-12-18,,,,Seed,,,,Seed,"DvH Ventures, IFB Innovationsstarter GmbH",2
CyberCore Technologies,https://www.crunchbase.com/organization/cybercore-technologies,"Cyber Security, Enterprise Software, Information Services, Information Technology","Elkridge, Maryland, United States","Greater Baltimore-Maryland Area, East Coast, Southern US",2000-01-01,year,2011-07-21,day,2017-09-27,,,,Private Equity,,,,M&A,Enlightenment Capital,1
Excalibur Associates,https://www.crunchbase.com/organization/excalibur-associates,"Government, Local, Management Consulting, Security, Technical Support","Westminster, Colorado, United States","Greater Denver Area, Western US",,,,,2017-07-31,797468,USD,797468,Seed,797468,USD,797468,Seed,,
Premiere Digital Services,https://www.crunchbase.com/organization/premiere-digital-services,"Cyber Security, Enterprise Software, Film","Los Angeles, California, United States","Greater Los Angeles Area, West Coast, Western US",2008-09-01,day,,,2017-10-23,,,,Private Equity,,,,Private Equity,Clarion Capital Partners,1
Ubisecure,https://www.crunchbase.com/organization/ubisecure,"Cloud Security, Cyber Security, Enterprise Software, Identity Management, Privacy","Espoo, Southern Finland, Finland","European Union (EU), Nordic Countries, Scandinavia",2002-01-01,year,,,2018-05-17,,,,Series A,,,,Early Stage Venture,"Base 10 Ventures, Octopus Investments",2
Corlina,https://www.crunchbase.com/organization/corlina,"B2B, Enterprise Software, Industrial Automation, SaaS, Security","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2017-01-01,year,,,2017-09-07,,,,Undisclosed,,,,,,
Signatrix,https://www.crunchbase.com/organization/signatrix,"Artificial Intelligence, Computer Vision, Industrial Automation, Machine Learning, Retail Technology, Security","Berlin, Berlin, Germany",European Union (EU),2017-06-01,month,,,2018-04-01,,,,Pre-Seed,,,,Seed,"Alfred Bauer, EXIST",2
Alertot,https://www.crunchbase.com/organization/alertot,"Cyber Security, Penetration Testing","Santiago, Region Metropolitana, Chile",,2017-06-14,day,,,2017-07-03,35000,USD,35000,Seed,35000,USD,35000,Seed,Start-Up Chile,1
EnvKey,https://www.crunchbase.com/organization/envkey,"Cyber Security, Developer APIs, Software","Montclair, New Jersey, United States","Greater New York Area, East Coast, Northeastern US",2017-03-01,month,,,2018-01-04,,,,Seed,,,,Seed,"FundersClub, Y Combinator",2
Seemore,https://www.crunchbase.com/organization/seemore,"Augmented Reality, Information Technology, Security, Software, Virtual Reality","Wroclaw, Dolnoslaskie, Poland",European Union (EU),2016-01-01,year,,,2017-11-01,50000,EUR,58142,Grant,,,,,EASME - EU Executive Agency for SMEs,1
Patronus.io,https://www.crunchbase.com/organization/patronus-io,"Cyber Security, Information Technology, Security, Software","Berlin, Berlin, Germany",European Union (EU),2015-01-01,year,,,2018-05-09,,,,Venture - Series Unknown,,,,,"Innogy Innovation Hub, Mountain Partners, Rheingau Founders",3
Strattic,https://www.crunchbase.com/organization/strattic,"Cloud Infrastructure, CMS, Cyber Security, Information Technology, Open Source, SaaS, Web Hosting","Jerusalem, Yerushalayim, Israel",,2018-01-30,day,,,2018-01-30,,,,Pre-Seed,,,,Seed,,
RIDDLE&CODE - The Blockchain Interface Company,https://www.crunchbase.com/organization/riddle-code,"Bitcoin, Cryptocurrency, Cyber Security, Database, Hardware, Identity Management, Software","Vienna, Wien, Austria",European Union (EU),2015-01-01,day,,,2017-11-02,,,,Series A,,,,Early Stage Venture,,
Seacom,https://www.crunchbase.com/organization/seacom,"Location Based Services, Network Security, Social Network","Ebène, Plaines Wilhems, Mauritius",,2009-06-01,day,,,2017-12-01,,,,Venture - Series Unknown,,,,,Investec Asset Management,1
Center for Peace and Security Studies,https://www.crunchbase.com/organization/center-for-peace-and-security-studies,"Education, Security, Training","La Jolla, California, United States","Greater San Diego Area, West Coast, Western US",,,,,2017-08-23,3320000,USD,3320000,Grant,,,,,Charles Koch Foundation,1
Convexum,https://www.crunchbase.com/organization/convexum,"Enterprise, Security","Tel Aviv, Tel Aviv, Israel",,2015-12-01,day,,,2017-08-01,,,,Seed,,,,Seed,"F2 Capital, The Junction",2
Crashtest Security GmbH,https://www.crunchbase.com/organization/crashtest-security-gmbh,"Artificial Intelligence, Computer, Information Technology, Network Security","Munich, Bayern, Germany",European Union (EU),2017-01-01,year,,,2018-04-10,,,,Seed,,,,Seed,"BayStartUP, Gian Reto à Porta, Nicolas Cepeda, Pascal Tilgner, Thomas Dübendorfer",5
Notch Technologies,https://www.crunchbase.com/organization/notch-technologies,"Cyber Security, Electronics, Telecommunications","Cambridge, Massachusetts, United States","Greater Boston Area, East Coast, New England",2017-12-01,month,,,2018-01-01,,,,Seed,,,,Seed,"Techstars, Techstars Autonomous Technology",2
ipushpull,https://www.crunchbase.com/organization/ipushpull,"Analytics, Big Data, Cloud Computing, Cloud Data Services, FinTech, SaaS, Security","London, England, United Kingdom",European Union (EU),2014-01-01,year,,,2017-07-30,,,,Venture - Series Unknown,,,,,Nexus Investment Ventures,1
Vision CCTV,https://www.crunchbase.com/organization/vision-cctv,"Information Technology, Security","Sheffield, Sheffield, United Kingdom",European Union (EU),,,,,2017-09-13,150000,GBP,198102,Venture - Series Unknown,150000,GBP,198102,,"Mercia Technologies, Northern Powerhouse Investment Fund",2
TODAQ,https://www.crunchbase.com/organization/todaq,"Blockchain, Cyber Security, Financial Services, Privacy, Virtual Currency","Toronto, Ontario, Canada",Great Lakes,2017-05-31,day,,,2018-01-31,,,,Seed,,,,Seed,VentureSouq,1
SnapTrap,https://www.crunchbase.com/organization/snaptrap,"AgTech, Fruit, Security","Melbourne, Victoria, Australia","Asia-Pacific (APAC), Australasia",,,,,2017-07-11,40000,USD,40000,Seed,40000,USD,40000,Seed,sproutx,1
MicroSec,https://www.crunchbase.com/organization/microsec,"Information Technology, Messaging, Security","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2016-01-01,year,,,2018-01-31,,,,Seed,,,,Seed,"Rekanext, SGInnovate, SparkLabs Global Ventures, Wavemaker Partners",4
Lumkani,https://www.crunchbase.com/organization/lumkani,"Consumer Electronics, Information Technology, Security","Cape Town, NA - South Africa, South Africa",,2014-01-01,year,,,2018-06-08,,,,Seed,,,,Seed,"4Di Capital, Accion Venture Lab, Chivas Venture, Lireas Holdings",4
KABN,https://www.crunchbase.com/organization/crypto-kabn,"Blockchain, Financial Services, Identity Management","Vancouver, British Columbia, Canada",,2018-01-01,month,,,2018-01-08,,,,Seed,,,,Seed,,
LegitCar,https://www.crunchbase.com/organization/legitcar,"Automotive, Security, Software","Abuja, Federal Capital Territory, Nigeria",,2016-09-01,day,,,2017-12-01,14000,EUR,16650,Grant,,,,,Tony Elumelu Foundation,1
Metadium,https://www.crunchbase.com/organization/metadium,"Blockchain, Identity Management, Information Technology, Internet","Seoul, Seoul-t'ukpyolsi, South Korea",Asia-Pacific (APAC),2018-01-31,day,,,2018-05-01,,,,Initial Coin Offering,,,,,"Block Crafters Capital, Connect Capital, JLAB | JD capital",3
Astra,https://www.crunchbase.com/organization/astra-c747,Cyber Security,"Paris, Ile-de-France, France",European Union (EU),2013-01-01,year,,,2018-01-01,,,,Seed,,,,Seed,"Techstars, Techstars Berlin Accelerator",2
Intelliment Security,https://www.crunchbase.com/organization/intelliment-security,"Information Technology, Infrastructure, Network Security, Security, Software","London, England, United Kingdom",European Union (EU),2013-01-01,year,,,2017-08-22,,,,Seed,,,,Seed,"Cisco Entrepreneurs in Residence, Crane Venture Partners, Finch Capital, Seedcamp",4
Auror,https://www.crunchbase.com/organization/eyedentify,"Business Intelligence, Enterprise Software, Real Time, Security, Software","Auckland, Auckland, New Zealand","Asia-Pacific (APAC), Australasia",2012-01-01,year,,,2018-01-30,,,,Series A,,,,Early Stage Venture,"Reinventure Group, Sparkbox Ventures, Tempus Partners",3
Keepnet Labs,https://www.crunchbase.com/organization/keepnet-labs,"Cyber Security, Network Security, Security","Cambridge, Cambridgeshire, United Kingdom",European Union (EU),2015-01-01,year,,,2018-04-17,,,,Seed,,,,Seed,CyLon,1
Forsythe & Storms Technologies,https://www.crunchbase.com/organization/forsythe-storms-technologies,"Electronics, Law Enforcement, Security","Oak Creek, Wisconsin, United States","Great Lakes, Midwestern US",2014-01-01,year,,,2018-06-26,50000,USD,50000,Grant,,,,,,
ZP Group,https://www.crunchbase.com/organization/zp-group,"Cyber Security, Information Technology","Mclean, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2014-01-01,year,,,2018-03-26,,,,Series C,,,,Late Stage Venture,Chertoff Group,1
GuardRails,https://www.crunchbase.com/organization/guardrails,"Cyber Security, Developer Tools, Internet, Productivity Tools, Security","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2017-09-01,day,,,2018-01-01,,,,Seed,,,,Seed,,
SecureHome,https://www.crunchbase.com/organization/securehome,"Internet of Things, Security","Herndon, Virginia, United States","Washington DC Metro Area, East Coast, Southern US",2017-01-01,year,,,2018-01-01,,,,Seed,,,,Seed,Startupbootcamp,1
Cybertrap,https://www.crunchbase.com/organization/cybertrap,"Information Technology, PC Games, Security","Neustadt, Niederosterreich, Austria",European Union (EU),2015-01-01,year,,,2017-08-10,,,,Seed,,,,Seed,"EIT Digital Accelerator, Swisscom Ventures",2
CyberSwarm,https://www.crunchbase.com/organization/cyberswarm,"Artificial Intelligence, Cyber Security, Hardware","Delaware, Ohio, United States","Great Lakes, Midwestern US",2017-01-01,year,,,2017-09-15,,,,Seed,,,,Seed,Draper Associates,1
VeriDoc Global,https://www.crunchbase.com/organization/veri-doc-global,"Cyber Security, Fraud Detection, GovTech, National Security, Public Safety, QR Codes, SaaS, Security, Supply Chain Management","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",2015-05-01,month,,,2018-04-26,,,,Initial Coin Offering,,,,,,
RNC Avionics,https://www.crunchbase.com/organization/rnc-avionics,"Aerospace, Intelligent Systems, Security","Lancaster, Lancashire, United Kingdom",European Union (EU),,,,,2017-07-01,50000,EUR,57122,Grant,,,,,EASME - EU Executive Agency for SMEs,1
KeySupreme,https://www.crunchbase.com/organization/keysupreme,"Cloud Computing, Computer, Cyber Security, Identity Management, IT Infrastructure, Quantum Computing, Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2015-01-01,year,,,2018-03-30,,,,Non-equity Assistance,,,,,,
Groove.id,https://www.crunchbase.com/organization/groove-id,"Biometrics, Cloud Security, Identity Management, SaaS, Security","Austin, Texas, United States",Southern US,2017-05-08,day,,,2018-06-30,,,,Seed,,,,Seed,"Counterview Capital, Joe Malcoun",2
Shieldfy,https://www.crunchbase.com/organization/shieldfy,"Cyber Security, Developer Tools, Information Technology, Internet, SaaS, Security","Alexandria, Al Iskandariyah, Egypt",,2016-01-01,year,,,2018-06-19,,,,Seed,,,,Seed,Arzan Venture Capital,1
VivoKey Technologies,https://www.crunchbase.com/organization/vivokey-technologies,"Cyber Security, Identity Management","Seattle, Washington, United States","Greater Seattle Area, West Coast, Western US",2017-12-01,day,,,2017-12-22,,,,Seed,,,,Seed,"RebelBio, SOSV",2
NXT Robotics,https://www.crunchbase.com/organization/nxt-robotics,"Artificial Intelligence, Machine Learning, Robotics, Security","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",2012-01-01,year,,,2018-03-02,,,,Seed,,,,Seed,Nex Cubed,1
Diligent,https://www.crunchbase.com/organization/diligent-board-member-services,"Collaboration, Data Center, Information Technology, iOS, Mobile, SaaS, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",1994-01-01,year,2007-12-21,day,2018-02-09,,,,Corporate Round,,,,M&A,"Accel, Christopher & Banks Private Equity, Clearlake Capital Group, Gemini Israel Ventures, Matrix Partners",5
Xanview,https://www.crunchbase.com/organization/xanview,"Internet, Security","London, England, United Kingdom",European Union (EU),,,,,2018-04-17,,,,Venture - Series Unknown,,,,,"Beacon Capital LLP, Bloc Ventures",2
YAXA,https://www.crunchbase.com/organization/yaxa,"Cloud Infrastructure, Cloud Security, Cyber Security, Fraud Detection, Intrusion Detection, Machine Learning, Network Security, Web Apps","Concord, Massachusetts, United States","Greater Boston Area, East Coast, New England",2015-05-04,day,,,2018-06-04,,,,Seed,,,,Seed,Startupbootcamp FinTech London,1
TRAPMINE,https://www.crunchbase.com/organization/trapmine,"Cyber Security, Machine Learning, Network Security, Security","Tallinn, Harjumaa, Estonia",European Union (EU),2016-04-17,day,,,2017-09-19,,,,Pre-Seed,,,,Seed,"Lars Neupart, Peter Sandberg, Startup Wise Guys",3
AadhaarAPI,https://www.crunchbase.com/organization/aadhaarapi,"Identity Management, Information Technology, Security","Pune, Maharashtra, India",Asia-Pacific (APAC),2016-01-01,year,,,2017-11-02,,,,Angel,,,,Seed,"Anoop Mathur, Kalpana Maniar, Sanjay Mehta",3
GMA Group,https://www.crunchbase.com/organization/gma-group,"Home Decor, Physical Security, Security","Giugliano In Campania, Campania, Italy",European Union (EU),,,,,2017-07-01,50000,EUR,57122,Grant,,,,,EASME - EU Executive Agency for SMEs,1
nPhase,https://www.crunchbase.com/organization/nphase,"Cloud Computing, Information Technology, Security","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",1998-01-01,year,2006-11-16,day,2017-07-10,,,,Series A,,,,M&A,,
Springdel,https://www.crunchbase.com/organization/springdel,"Artificial Intelligence, Big Data, Cyber Security, Enterprise Software, Information Technology, Intelligent Systems, Machine Learning","Hong Kong, Hong Kong Island, Hong Kong",Asia-Pacific (APAC),2018-01-01,year,,,2018-03-01,,,,Pre-Seed,,,,Seed,,
AeroShield,https://www.crunchbase.com/organization/aeroshield,"Artificial Intelligence, Drones, Robotics, Security","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2018-01-01,year,,,2018-02-01,,,,Seed,,,,Seed,,
"Trustcom, Ltd",https://www.crunchbase.com/organization/trustcom-ltd,"Cyber Security, Information Technology, Mobile, Risk Management, Security, Training","Nairobi, Nairobi Area, Kenya",,2017-04-10,day,,,2017-07-05,1000,USD,1000,Seed,1000,USD,1000,Seed,,
CyberRed,https://www.crunchbase.com/organization/cyberred,Cyber Security,,,2017-11-01,day,,,2018-01-01,,,,Pre-Seed,,,,Seed,,
Rain,https://www.crunchbase.com/organization/rain-south-africa,"Internet, Network Security, Telecommunications","Bryanston, NA - South Africa, South Africa",,,,,,2017-07-31,,,,Private Equity,,,,Private Equity,African Rainbow Capital,1
Gravwell,https://www.crunchbase.com/organization/gravwell,"Analytics, Information Technology, Security","Coeur D'alene, Idaho, United States",Western US,2017-03-16,day,,,2017-12-01,,,,Seed,,,,Seed,Gula Tech Adventures,1
Simplerity,https://www.crunchbase.com/organization/simplerity,"Artificial Intelligence, Cyber Security, Information Technology, Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2018-01-01,month,,,2018-01-30,,,,Angel,,,,Seed,AngelSyndicate.vc,1
Ioetec.com,https://www.crunchbase.com/organization/iotec-com,"Cyber Security, Internet of Things, Security","Sheffield, Sheffield, United Kingdom",European Union (EU),2015-04-01,month,,,2017-12-11,,,,Seed,,,,Seed,NCSC Cyber Accelerator,1
CyberDot Inc.,https://www.crunchbase.com/organization/cyberdot-inc,"Commercial Insurance, Cyber Security, Information Technology, Insurance","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2016-05-23,day,,,2017-09-01,,,,Angel,,,,Seed,,
ditno.,https://www.crunchbase.com/organization/ditno,"Cloud Computing, Cloud Security, Cyber Security, Network Security, Security","Sydney, New South Wales, Australia","Asia-Pacific (APAC), Australasia",2012-08-06,day,,,2018-02-08,,,,Seed,,,,Seed,,
AttackFlow,https://www.crunchbase.com/organization/attackflow,"Cyber Security, Information Technology","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-07-01,day,,,2018-04-17,,,,Seed,,,,Seed,CyLon,1
SafeHouse,https://www.crunchbase.com/organization/safehouse-ffed,"Cloud Security, Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",,2017-01-01,year,,,2018-01-01,,,,Seed,,,,Seed,CyLon,1
Neuralys,https://www.crunchbase.com/organization/neuralys,"Cyber Security, Risk Management","Bethesda, Maryland, United States","Washington DC Metro Area, East Coast, Southern US",2016-02-06,day,,,2018-06-06,,,,Seed,,,,Seed,"C5 Accelerate, Dreamit Ventures",2
